component,current_km,current_months,condition_metric_value,health_status
Front Brake Pad,20453.68,34.8,5.65,2
Spark Plug,81132.6,22.12,2.78,2
Spark Plug,30105.49,8.67,4.38,0
Rear Brake Pad,31106.25,44.05,4.2,2
Spark Plug,60711.8,11.66,4.94,0
Spark Plug,12760.48,8.22,7.06,2
Gearbox Filter,10363.16,63.6,43.56,2
Ignition Coil,110516.3,66.57,5.49,1
Ignition Coil,11060.33,87.88,11.29,2
Front Brake Pad,9136.49,7.12,1.62,2
Spark Plug,72216.81,41.89,3.01,0
Gearbox,4460.42,1.46,60.81,2
Gearbox,11015.49,1.88,5.27,2
Spark Plug,5035.69,26.18,0.74,0
Gearbox Filter,22883.51,21.27,55.65,0
CVT/AT Oil,33951.03,49.03,47.56,2
Gearbox,13181.54,5.03,78.29,2
Rear Brake Pad,53611.18,4.35,8.46,0
Ignition Coil,84584.77,54.27,2.41,0
Front Brake Pad,32186.62,22.68,7.46,0
Ignition Coil,55255.01,21.08,8.14,2
Rear Brake Pad,78762.03,52.43,1.59,2
Front Brake Pad,40725.06,28.86,4.23,2
Ignition Coil,104516.14,101.08,8.07,2
Spark Plug,17896.9,56.59,4.63,2
Rear Brake Pad,88426.91,4.65,7.33,2
Spark Plug,68027.14,25.31,4.58,0
Rear Brake Pad,34285.67,2.95,5.4,0
CVT/AT Oil,27559.89,40.61,108.66,2
Gearbox,725.44,7.38,74.37,2
Ignition Coil,47604.93,54.38,0.82,0
Ignition Coil,148667.82,68.2,9.41,2
Spark Plug,1748.06,17.81,6.5,2
Rear Brake Pad,54458.06,11.91,5.63,0
Spark Plug,2522.53,59.01,6.19,2
Gearbox Filter,68732.3,37.68,23.81,2
Rear Brake Pad,33642.73,33.77,0.11,2
CVT/AT Oil,11067.54,10.92,46.4,0
Front Brake Pad,25994.43,30.77,8.57,2
CVT/AT Oil,22967.05,45.31,17.44,2
Gearbox,110.01,0.23,49.8,0
Gearbox Filter,89512.38,14.53,27.1,2
Gearbox Filter,4382.54,7.06,4.63,0
Spark Plug,108331.65,37.79,3.38,2
Ignition Coil,170274.76,90.95,3.56,2
Spark Plug,112431.34,70.85,5.97,2
Front Brake Pad,35002.91,8.85,3.22,0
CVT/AT Oil,41443.58,39.35,5.64,2
Front Brake Pad,25794.41,19.97,0.69,2
Gearbox,2548.09,0.5,29.8,0
Rear Brake Pad,37231.08,35.26,5.22,1
Gearbox,2656.23,0.89,86.1,2
Front Brake Pad,49184.3,11.35,3.54,2
Gearbox Filter,15255.37,3.67,64.84,0
Ignition Coil,121958.24,59.07,5.7,2
Rear Brake Pad,70346.93,23.6,5.65,2
Rear Brake Pad,70418.32,53.6,2.17,2
Front Brake Pad,64909.07,26.29,4.41,2
Spark Plug,49160.74,70.43,1.36,2
Front Brake Pad,13147.21,29.18,2.45,2
Gearbox,8675.4,7.49,72.37,2
Gearbox Filter,16310.3,68.92,93.46,2
Rear Brake Pad,37423.67,29.62,3.62,0
Rear Brake Pad,51169.7,3.2,5.7,0
CVT/AT Oil,23760.06,7.18,19.05,2
Rear Brake Pad,51461.04,23.44,1.15,2
Spark Plug,24997.85,25.59,5.02,2
CVT/AT Oil,42043.53,31.81,112.64,2
Ignition Coil,103606.82,17.44,5.66,0
Rear Brake Pad,28350.95,12.13,0.62,2
Rear Brake Pad,2267.92,19.16,7.02,0
Gearbox,10490.09,2.98,67.03,2
Spark Plug,95549.23,52.92,4.58,2
Gearbox Filter,39648.52,22.85,95.76,2
Gearbox,8989.49,4.62,25.94,0
Ignition Coil,74792.53,98.07,2.91,2
Front Brake Pad,1616.37,21.05,8.47,0
Rear Brake Pad,51646.55,3.29,0.28,2
Spark Plug,43397.65,9.03,1.9,0
Spark Plug,23555.32,1.62,6.46,2
CVT/AT Oil,35285.62,17.07,75.24,0
Rear Brake Pad,38670.6,40.49,8.22,2
Spark Plug,39290.52,11.85,1.36,0
Rear Brake Pad,34625.93,23.54,5.35,0
Gearbox Filter,38384.98,44.31,8.57,0
Rear Brake Pad,65076.45,41.72,6.43,2
Ignition Coil,50991.19,43.23,9.74,2
Rear Brake Pad,34870.62,46.63,2.78,2
Ignition Coil,167895.53,2.17,1.85,2
Gearbox,10605.23,5.96,72.69,2
Rear Brake Pad,61115.99,50.31,8.97,2
Ignition Coil,37511.92,14.36,7.66,0
Rear Brake Pad,20797.28,48.46,2.31,2
CVT/AT Oil,54193.42,1.33,25.13,2
Gearbox Filter,60740.39,17.21,79.59,2
Gearbox,7683.22,6.12,83.85,2
Rear Brake Pad,87890.49,34.86,8.41,2
Front Brake Pad,25241.43,31.91,1.36,2
Rear Brake Pad,86907.51,21.25,1.18,2
Ignition Coil,173737.73,46.24,7.58,2
Rear Brake Pad,45401.03,16.86,3.85,0
Front Brake Pad,21145.49,22.9,3.58,0
Gearbox,4037.42,1.79,70.5,2
Spark Plug,44427.86,54.09,6.73,2
Rear Brake Pad,12884.52,35.52,5.77,1
Front Brake Pad,22898.74,2.25,4.38,0
CVT/AT Oil,14912.39,17.11,97.06,0
Ignition Coil,98266.24,100.03,10.46,2
Ignition Coil,137637.17,15.84,8.28,2
Rear Brake Pad,76799.63,17.72,0.48,2
Front Brake Pad,43586.44,18.38,1.08,2
Ignition Coil,11463.26,19.13,0.06,0
CVT/AT Oil,57143.21,17.76,79.48,2
Front Brake Pad,63691.25,31.37,2.6,2
Front Brake Pad,57949.19,4.74,6.35,2
Rear Brake Pad,7376.92,34.93,5.62,0
CVT/AT Oil,10131.51,2.9,86.1,0
CVT/AT Oil,13062.75,4.76,23.34,2
CVT/AT Oil,50186.53,29.64,22.7,2
Gearbox,8667.42,2.77,42.95,0
Gearbox Filter,88311.74,67.14,98.06,2
CVT/AT Oil,50331.23,36.23,83.64,2
Rear Brake Pad,12779.48,16.43,1.25,2
Ignition Coil,73400.05,95.73,0.57,2
Front Brake Pad,23611.23,31.05,2.1,2
Rear Brake Pad,22391.26,50.87,2.68,2
Gearbox Filter,12532.87,0.77,57.15,0
Spark Plug,6739.44,18.41,3.96,0
Gearbox Filter,46848.95,31.73,92.39,2
Rear Brake Pad,10969.93,22.46,0.57,2
CVT/AT Oil,14998.37,3.96,79.58,0
Front Brake Pad,28022.33,15.2,7.07,0
CVT/AT Oil,53703.4,46.08,80.83,2
CVT/AT Oil,27481.72,13.86,90.25,0
Gearbox Filter,59471.87,53.74,32.72,2
Spark Plug,52231.47,66.29,2.59,2
Spark Plug,68491.38,34.47,6.47,2
Ignition Coil,40.87,98.82,10.13,2
Front Brake Pad,55500.4,27.1,6.6,2
Spark Plug,86883.5,66.87,3.23,2
Gearbox,7685.89,3.14,33.73,0
Spark Plug,86246.17,7.96,0.27,2
Front Brake Pad,7291.95,8.37,6.75,0
Spark Plug,47017.31,57.77,2.56,2
Gearbox Filter,61786.25,58.69,92.13,2
Ignition Coil,155886.42,1.07,9.34,2
Ignition Coil,6785.59,87.27,3.85,2
Rear Brake Pad,67911.24,13.42,4.85,2
Front Brake Pad,26908.37,31.07,2.4,2
Ignition Coil,62204.33,0.75,4.84,0
CVT/AT Oil,7312.77,0.99,108.5,0
CVT/AT Oil,35.88,16.62,28.94,2
Rear Brake Pad,16642.83,23.12,0.55,2
Gearbox,6260.92,3.39,78.83,2
Gearbox,12117.98,6.64,48.33,2
Spark Plug,114408.35,4.34,2.23,2
Spark Plug,37755.47,48.53,6.33,2
Front Brake Pad,48460.46,10.21,2.94,2
Ignition Coil,163697.31,20.53,9.86,2
Gearbox Filter,10679.46,12.38,50.04,0
Gearbox Filter,77368.08,12.15,89.66,2
Ignition Coil,92120.48,83.1,11.22,2
CVT/AT Oil,862.87,43.36,117.7,2
Gearbox Filter,25576.59,20.81,39.59,0
Gearbox,11318.05,4.01,53.3,2
Ignition Coil,30161.98,33.51,6.04,0
Front Brake Pad,44193.96,14.8,5.97,1
Rear Brake Pad,49234.08,4.72,3.4,0
Gearbox Filter,16736.54,68.46,22.04,2
Rear Brake Pad,85826.93,19.03,0.39,2
Gearbox Filter,76763.37,8.34,74.13,2
Ignition Coil,137432.85,11.74,11.78,2
Rear Brake Pad,42996.79,25.82,6.91,0
CVT/AT Oil,11520.97,7.89,112.57,0
Rear Brake Pad,67114.59,44.6,6.27,2
CVT/AT Oil,4142.22,18.08,37.64,2
Front Brake Pad,24027.15,5.35,5.37,0
Gearbox,8279.05,2.18,38.34,0
CVT/AT Oil,14249.0,16.19,77.14,0
Spark Plug,63129.9,54.67,5.34,2
Front Brake Pad,31813.31,17.01,3.4,0
Ignition Coil,159063.11,37.04,8.21,2
Front Brake Pad,4878.69,20.73,7.68,0
Spark Plug,73177.53,17.34,2.9,0
Gearbox Filter,49094.13,14.91,57.12,0
Gearbox Filter,76403.15,28.6,25.78,2
Spark Plug,41140.68,8.03,4.28,0
Front Brake Pad,13891.12,26.7,4.92,2
Rear Brake Pad,25413.11,4.37,7.89,0
Ignition Coil,29921.29,98.98,3.93,2
Spark Plug,106828.39,8.27,0.03,2
CVT/AT Oil,44275.67,32.26,105.71,2
Spark Plug,37685.26,35.94,1.62,0
Rear Brake Pad,66951.47,49.64,3.81,2
Ignition Coil,47115.2,67.42,9.95,2
CVT/AT Oil,21098.99,49.12,68.27,2
Spark Plug,51702.99,22.48,5.44,2
Spark Plug,101816.61,26.15,5.95,2
Gearbox Filter,54124.57,24.42,57.18,0
Gearbox Filter,67034.26,32.11,2.1,2
Front Brake Pad,45478.55,16.21,6.74,2
Gearbox,9288.06,4.32,59.55,1
Front Brake Pad,36834.48,7.35,2.63,2
Ignition Coil,4836.18,41.09,1.27,0
Gearbox,10726.88,8.61,38.44,2
Front Brake Pad,20227.64,34.64,4.82,2
Front Brake Pad,17021.67,16.08,1.11,2
Gearbox,6431.46,0.48,1.99,0
Rear Brake Pad,21811.83,35.82,7.55,1
Gearbox,11072.52,7.71,84.48,2
Rear Brake Pad,65812.55,41.57,8.78,2
CVT/AT Oil,20498.47,35.02,8.21,2
Gearbox,1790.72,2.95,73.42,2
Front Brake Pad,21993.16,6.9,5.0,0
CVT/AT Oil,20400.26,46.96,10.58,2
Rear Brake Pad,76279.29,9.82,3.87,2
Ignition Coil,133176.21,85.21,1.43,2
CVT/AT Oil,11789.22,11.43,4.98,2
Gearbox Filter,75287.78,50.71,97.5,2
Gearbox Filter,39185.67,68.62,75.52,2
Gearbox,2893.06,0.83,47.9,0
Ignition Coil,130695.27,13.1,3.63,2
CVT/AT Oil,28936.44,3.09,20.95,2
Ignition Coil,68352.73,66.66,11.64,2
Gearbox Filter,11169.66,8.74,75.72,2
Front Brake Pad,12961.58,24.0,5.61,2
Rear Brake Pad,22393.71,22.03,2.52,2
Gearbox,7789.69,1.78,72.47,2
Gearbox,1274.49,3.93,59.25,0
Front Brake Pad,50621.87,28.98,1.23,2
Front Brake Pad,62968.57,33.22,4.52,2
Spark Plug,86963.55,60.22,6.47,2
Front Brake Pad,22701.83,33.14,0.11,2
Spark Plug,74822.3,4.54,2.43,0
Gearbox Filter,46620.94,44.22,24.84,0
Spark Plug,51497.94,5.39,0.8,0
Gearbox,3597.3,1.75,45.44,0
Gearbox,5669.91,8.83,41.96,2
Rear Brake Pad,3281.49,2.85,7.51,0
Gearbox Filter,64716.81,39.42,99.1,2
Ignition Coil,47233.51,45.54,0.48,0
CVT/AT Oil,51647.94,18.69,78.45,2
Front Brake Pad,21298.49,3.84,3.3,0
Ignition Coil,72763.5,107.27,10.42,2
Ignition Coil,155712.8,64.89,8.41,2
Gearbox,12722.72,6.17,26.1,2
Ignition Coil,136399.78,30.45,3.82,2
Ignition Coil,10120.37,52.45,10.95,2
Gearbox Filter,14813.93,4.6,33.33,0
CVT/AT Oil,51122.9,30.2,61.77,2
Gearbox,13593.5,6.69,47.95,2
Gearbox Filter,54289.18,5.74,71.73,2
Ignition Coil,153171.34,37.35,0.42,2
Front Brake Pad,51728.44,14.63,7.92,2
Gearbox Filter,17275.99,51.78,28.51,2
Front Brake Pad,20904.19,7.26,8.18,0
Gearbox,10145.98,2.71,16.56,2
Gearbox Filter,33569.99,15.05,73.06,2
Gearbox Filter,3630.05,23.48,49.2,0
Gearbox Filter,39854.64,61.0,21.63,2
CVT/AT Oil,12212.09,41.53,51.06,2
Rear Brake Pad,1890.82,1.86,4.01,0
Gearbox Filter,27162.84,2.69,53.06,0
Gearbox Filter,82190.67,27.93,87.1,2
Gearbox Filter,87926.9,13.46,46.75,2
Gearbox Filter,60895.55,26.17,98.51,2
Gearbox,9427.53,1.94,56.47,1
Gearbox Filter,83646.31,14.75,83.79,2
Front Brake Pad,20945.73,14.37,2.18,2
Ignition Coil,54808.28,106.16,7.71,2
Gearbox,14649.26,3.39,72.17,2
CVT/AT Oil,38422.84,45.93,88.9,2
Front Brake Pad,14767.09,11.74,6.81,0
Gearbox,7338.41,1.2,21.83,0
Gearbox,3424.97,0.53,26.99,0
Ignition Coil,66483.74,71.68,1.42,1
CVT/AT Oil,3443.51,31.5,106.12,0
Rear Brake Pad,1499.44,18.3,7.16,0
Gearbox,10516.46,3.7,45.42,2
Ignition Coil,168116.04,14.15,9.57,2
Rear Brake Pad,33142.51,52.87,3.79,2
Ignition Coil,154230.36,50.42,4.32,2
Spark Plug,95736.56,62.23,3.43,2
Front Brake Pad,26058.44,34.8,6.27,2
Front Brake Pad,58295.77,35.89,3.84,2
Gearbox,8245.76,3.75,79.0,2
Rear Brake Pad,19864.13,8.56,0.56,2
Rear Brake Pad,87466.08,27.68,2.62,2
Ignition Coil,151101.58,70.29,7.38,2
Front Brake Pad,8712.31,10.72,7.02,0
Gearbox Filter,18126.57,0.69,7.91,0
CVT/AT Oil,56395.46,18.52,118.57,2
Ignition Coil,59261.51,5.67,5.4,0
Ignition Coil,127740.84,106.24,0.6,2
Spark Plug,86454.81,20.29,1.38,2
Gearbox Filter,7129.18,3.39,2.04,0
Front Brake Pad,31571.14,21.81,3.86,0
Rear Brake Pad,26122.96,30.34,1.01,2
Spark Plug,68211.83,57.02,7.4,2
Gearbox,5838.13,7.99,80.45,2
Ignition Coil,87733.13,102.1,0.69,2
Front Brake Pad,34354.74,16.3,2.51,2
Gearbox,3940.81,4.25,29.19,0
Spark Plug,33480.99,29.16,7.49,2
CVT/AT Oil,49235.51,21.18,53.71,2
Spark Plug,52747.55,36.75,1.94,0
Gearbox,1730.44,7.83,42.5,2
Rear Brake Pad,35361.84,13.97,3.12,0
Spark Plug,742.06,58.37,7.11,2
Rear Brake Pad,51316.35,32.95,8.48,0
Spark Plug,1703.6,18.55,3.37,0
Gearbox,11230.48,1.92,78.05,2
Front Brake Pad,36329.86,19.2,3.65,0
Gearbox Filter,5013.62,9.3,6.06,0
Gearbox,9048.68,2.05,48.94,1
Front Brake Pad,19940.99,3.26,6.01,0
Ignition Coil,66775.27,83.39,2.05,2
Spark Plug,107487.16,2.08,1.8,2
Gearbox,7262.6,7.15,51.88,2
CVT/AT Oil,20278.89,38.1,22.5,2
Gearbox Filter,45405.26,18.78,0.95,0
Front Brake Pad,12289.26,18.46,7.6,0
CVT/AT Oil,42417.38,35.33,104.7,2
Ignition Coil,156236.33,62.98,8.62,2
Rear Brake Pad,34989.16,7.1,2.36,2
Spark Plug,104047.22,17.57,7.25,2
CVT/AT Oil,33021.08,27.75,82.81,0
Rear Brake Pad,86996.0,23.95,2.89,2
CVT/AT Oil,10381.43,14.41,14.34,2
Gearbox Filter,4649.16,3.55,40.56,0
Spark Plug,89675.71,3.45,7.11,2
Gearbox,2883.87,2.79,87.74,2
Ignition Coil,140285.73,56.43,7.69,2
Spark Plug,28992.15,49.05,5.37,2
Gearbox,5713.36,4.46,0.7,0
Ignition Coil,107305.68,79.87,2.53,2
Gearbox,10307.85,7.33,37.57,2
CVT/AT Oil,56269.55,36.57,14.28,2
Gearbox Filter,17918.41,25.04,65.12,0
Ignition Coil,22615.83,31.29,2.87,0
Front Brake Pad,51322.15,26.01,0.07,2
Gearbox Filter,33001.1,28.15,102.53,2
CVT/AT Oil,25100.75,24.0,36.39,2
Front Brake Pad,24209.64,9.64,3.89,0
Gearbox Filter,77249.06,60.83,37.77,2
Spark Plug,21943.74,16.73,4.77,0
Ignition Coil,1768.96,44.19,3.95,0
CVT/AT Oil,51973.97,23.99,16.45,2
CVT/AT Oil,17635.01,24.1,87.24,0
Gearbox,12776.86,0.47,9.4,2
Gearbox Filter,54871.37,65.89,16.42,2
Front Brake Pad,38358.13,9.89,4.27,0
Gearbox Filter,46645.17,52.0,18.29,2
Ignition Coil,113710.04,56.02,0.61,1
CVT/AT Oil,26956.09,16.01,111.56,0
Rear Brake Pad,45371.96,17.43,2.32,2
Spark Plug,66477.54,21.45,3.41,0
Front Brake Pad,47764.39,3.82,6.98,2
Ignition Coil,161953.75,67.87,5.26,2
Spark Plug,100118.98,41.57,4.85,2
Front Brake Pad,54457.22,9.07,7.41,2
Front Brake Pad,5497.69,15.66,2.63,2
Ignition Coil,47720.39,46.66,11.99,2
Rear Brake Pad,14701.9,5.63,1.31,2
Gearbox,7862.94,6.0,24.04,2
Gearbox Filter,58460.04,62.5,86.96,2
Gearbox Filter,6775.08,8.09,5.18,0
Rear Brake Pad,12209.53,14.04,3.47,0
Rear Brake Pad,73902.82,52.35,4.09,2
Rear Brake Pad,51495.48,50.35,7.72,2
Ignition Coil,61373.16,107.75,3.16,2
Gearbox Filter,83760.5,1.77,73.15,2
CVT/AT Oil,13380.59,22.03,41.73,0
Ignition Coil,11749.82,88.76,7.76,2
Spark Plug,61707.24,38.82,1.91,0
Spark Plug,109418.23,31.62,0.3,2
CVT/AT Oil,5821.09,3.47,71.12,0
Ignition Coil,9918.28,46.1,5.63,0
Gearbox Filter,85219.22,19.81,41.79,2
Gearbox Filter,5944.98,70.02,37.81,2
Ignition Coil,119125.93,88.22,8.99,2
Ignition Coil,128758.02,28.96,3.79,2
Front Brake Pad,45018.18,3.69,0.11,2
CVT/AT Oil,52181.75,48.1,53.88,2
Rear Brake Pad,44458.12,46.95,6.63,2
Ignition Coil,44037.91,45.5,10.07,2
CVT/AT Oil,21115.79,24.09,80.6,0
Front Brake Pad,6876.82,32.8,7.38,2
Gearbox,7710.35,5.45,56.87,0
Gearbox Filter,49182.87,6.58,79.45,2
Gearbox Filter,65470.72,62.61,19.89,2
Gearbox Filter,5130.21,42.32,88.24,2
Front Brake Pad,3307.81,20.62,7.38,0
Spark Plug,64963.52,20.45,7.46,2
Gearbox Filter,2394.75,52.94,65.69,2
Gearbox,10734.31,6.18,80.38,2
Ignition Coil,63446.59,13.62,1.56,0
Spark Plug,91108.68,44.62,0.58,2
Ignition Coil,33138.24,11.41,9.75,2
Gearbox Filter,29009.23,55.94,7.43,2
Ignition Coil,150202.49,6.07,8.97,2
Rear Brake Pad,85527.63,16.2,0.17,2
CVT/AT Oil,57478.26,1.8,69.58,2
Rear Brake Pad,71003.43,41.83,1.96,2
Gearbox,721.18,4.35,1.32,0
Ignition Coil,136615.83,54.07,10.94,2
CVT/AT Oil,38755.67,12.58,18.81,2
Spark Plug,42093.31,59.95,3.7,2
Gearbox,6719.57,3.65,88.57,2
Ignition Coil,177107.57,97.86,0.67,2
Rear Brake Pad,22709.05,49.43,2.39,2
Ignition Coil,35400.1,102.31,2.47,2
Rear Brake Pad,15187.45,52.29,4.08,2
Gearbox,2853.42,4.69,42.22,0
CVT/AT Oil,18224.1,5.02,17.26,2
Spark Plug,61774.11,36.95,0.8,0
CVT/AT Oil,7819.23,34.75,23.66,2
Gearbox Filter,49048.41,6.25,24.87,0
Ignition Coil,63731.62,70.83,6.45,1
Gearbox Filter,19647.28,3.94,1.86,0
Gearbox Filter,3510.58,32.8,93.55,2
Rear Brake Pad,12653.27,22.94,3.08,0
Ignition Coil,124519.98,72.82,11.76,2
CVT/AT Oil,13576.64,7.12,106.45,0
Ignition Coil,19265.24,84.32,10.92,2
Gearbox,9459.53,3.87,39.4,1
CVT/AT Oil,34405.91,5.31,53.91,0
CVT/AT Oil,10486.88,47.24,88.49,2
Spark Plug,56889.15,63.05,2.04,2
Gearbox Filter,56986.08,51.92,27.0,2
Ignition Coil,5061.87,40.53,7.52,0
Spark Plug,11467.09,64.67,7.02,2
CVT/AT Oil,24311.83,32.19,12.89,2
Gearbox Filter,52163.71,65.71,18.62,2
Spark Plug,96659.53,5.53,3.1,2
Spark Plug,115853.84,65.94,3.77,2
Gearbox,9452.63,8.9,30.99,2
Ignition Coil,29471.21,32.34,1.2,0
Gearbox,11725.93,1.83,23.46,2
Spark Plug,41067.06,70.66,4.72,2
Spark Plug,85075.71,65.24,1.03,2
Rear Brake Pad,25332.96,3.78,0.51,2
Rear Brake Pad,52269.17,50.15,4.47,2
Front Brake Pad,32611.59,2.27,5.5,0
CVT/AT Oil,21648.38,40.65,60.0,2
Rear Brake Pad,32538.62,28.88,8.97,0
Ignition Coil,114287.35,92.76,4.14,2
Gearbox,8931.22,7.98,36.98,2
Ignition Coil,44783.47,98.3,1.85,2
Gearbox,1403.39,0.15,78.62,2
CVT/AT Oil,26980.62,18.64,20.73,2
Front Brake Pad,34158.02,5.85,8.64,0
Gearbox,10760.59,5.98,30.9,2
CVT/AT Oil,517.14,1.08,70.39,0
Front Brake Pad,35447.89,7.19,6.75,0
Gearbox,10771.02,3.98,65.9,2
Rear Brake Pad,88403.05,20.68,1.6,2
Gearbox Filter,39616.23,4.99,60.71,0
Gearbox Filter,23247.04,62.42,70.27,2
Rear Brake Pad,4761.67,37.86,0.5,2
Ignition Coil,64573.65,107.53,5.76,2
Spark Plug,15680.72,20.95,6.52,2
Ignition Coil,81203.41,77.62,7.03,2
Gearbox,2884.74,4.18,22.12,0
Front Brake Pad,56141.41,16.68,4.38,2
Gearbox,9473.17,4.89,11.64,1
Rear Brake Pad,13449.26,50.22,4.13,2
Ignition Coil,140037.29,23.81,1.97,2
Ignition Coil,153563.07,100.83,11.19,2
CVT/AT Oil,31036.33,4.55,118.15,0
Front Brake Pad,24216.01,22.72,6.43,0
Ignition Coil,173850.6,18.88,7.78,2
CVT/AT Oil,17366.18,25.9,116.74,0
Gearbox,9217.49,8.03,7.08,2
Ignition Coil,4440.59,43.95,2.65,0
Front Brake Pad,49451.36,24.65,1.91,2
CVT/AT Oil,38115.9,2.24,24.82,2
Spark Plug,2358.18,63.32,7.24,2
CVT/AT Oil,20310.41,0.38,81.63,0
CVT/AT Oil,24476.27,52.93,78.01,2
Spark Plug,3781.57,8.76,4.75,0
Ignition Coil,66370.53,83.13,9.73,2
Gearbox Filter,75976.73,10.03,54.62,2
Gearbox,7258.16,8.08,81.7,2
Ignition Coil,168568.8,89.16,9.5,2
Front Brake Pad,54345.55,30.6,2.6,2
CVT/AT Oil,10973.58,30.64,45.24,0
Rear Brake Pad,51821.32,34.84,0.15,2
Gearbox,8047.06,4.52,23.2,0
Spark Plug,1724.75,3.56,4.5,0
Ignition Coil,2390.62,58.54,5.51,0
Rear Brake Pad,73633.1,36.04,1.13,2
Spark Plug,91817.86,34.94,1.12,2
Spark Plug,64383.07,61.92,1.6,2
Spark Plug,10054.92,46.3,5.72,2
Ignition Coil,112829.92,27.35,9.64,2
CVT/AT Oil,37338.18,50.46,24.78,2
Front Brake Pad,58485.45,18.75,6.02,2
Ignition Coil,46921.53,32.06,0.01,0
Spark Plug,11908.52,6.53,1.97,0
Rear Brake Pad,40275.26,5.5,0.14,2
Ignition Coil,112164.81,38.46,9.47,2
Gearbox,1449.61,2.47,28.81,0
Ignition Coil,157262.05,13.69,10.4,2
Ignition Coil,8011.63,31.23,5.42,0
Ignition Coil,126062.62,81.96,1.27,2
Spark Plug,9471.58,13.8,3.56,0
CVT/AT Oil,57016.75,28.93,47.3,2
CVT/AT Oil,47811.69,18.41,96.66,2
Front Brake Pad,57157.99,29.95,3.63,2
Spark Plug,112144.83,52.28,6.88,2
Front Brake Pad,53591.97,17.51,3.01,2
Gearbox,14674.96,6.96,9.56,2
Ignition Coil,30696.85,48.31,2.53,0
Rear Brake Pad,29083.07,29.38,4.97,0
Gearbox,4477.4,6.05,29.59,2
Spark Plug,22132.22,35.82,2.07,0
Spark Plug,24718.58,51.07,0.16,2
CVT/AT Oil,29356.76,15.45,86.73,0
Gearbox Filter,18448.13,53.42,5.49,2
Ignition Coil,147294.09,73.8,2.2,2
Rear Brake Pad,65041.52,17.24,8.15,2
Ignition Coil,48154.87,56.07,2.81,0
Ignition Coil,35276.43,101.93,11.72,2
Spark Plug,38583.96,2.49,0.95,0
Gearbox Filter,63215.88,47.44,103.86,2
Gearbox,10929.56,4.75,18.19,2
Gearbox,58.78,9.0,72.2,2
Rear Brake Pad,45875.35,16.2,1.36,2
Rear Brake Pad,60026.91,10.84,7.92,2
CVT/AT Oil,4649.02,0.97,12.28,2
Gearbox,10490.77,1.01,76.45,2
CVT/AT Oil,27982.48,19.53,13.01,2
Gearbox Filter,10620.54,54.47,10.0,2
Front Brake Pad,32897.8,22.5,8.52,0
Rear Brake Pad,60537.99,9.36,6.52,2
Gearbox,10199.58,1.83,67.11,2
Rear Brake Pad,12245.06,45.15,1.39,2
Gearbox,237.78,6.57,79.99,2
Gearbox,7334.26,3.67,88.79,2
Gearbox Filter,58458.87,21.79,48.3,1
Spark Plug,6541.11,60.22,3.84,2
Front Brake Pad,675.7,31.77,5.15,2
Ignition Coil,57387.12,64.1,2.52,0
Rear Brake Pad,9912.81,21.03,2.17,2
Front Brake Pad,24306.73,3.23,2.31,2
Gearbox Filter,9084.75,14.33,104.98,2
Rear Brake Pad,62273.46,8.42,2.19,2
Gearbox,1404.49,8.6,54.98,2
Rear Brake Pad,36227.37,49.68,5.85,2
CVT/AT Oil,46036.75,50.04,58.04,2
Front Brake Pad,27152.58,1.84,4.47,0
Gearbox Filter,62326.26,17.53,97.82,2
Spark Plug,96380.46,11.05,2.75,2
Rear Brake Pad,1377.95,42.15,3.25,2
Gearbox,12140.54,3.41,4.25,2
Gearbox Filter,10923.47,70.99,81.97,2
Spark Plug,69427.67,65.62,4.16,2
Rear Brake Pad,34539.52,52.49,1.43,2
Gearbox,9760.87,7.8,80.46,2
Gearbox Filter,19396.16,15.92,76.57,2
Spark Plug,90831.22,43.68,1.25,2
Ignition Coil,1899.29,9.87,6.68,0
Rear Brake Pad,15657.97,18.22,0.16,2
Rear Brake Pad,34976.79,2.01,8.26,0
CVT/AT Oil,50177.48,11.63,14.46,2
Front Brake Pad,35078.74,6.86,4.16,0
Ignition Coil,9153.62,93.26,4.09,2
Gearbox,9573.37,3.15,83.55,2
Ignition Coil,81495.78,90.24,11.54,2
Gearbox Filter,55974.31,43.69,89.19,2
Rear Brake Pad,74418.11,30.38,6.86,2
CVT/AT Oil,23036.82,24.0,16.99,2
Spark Plug,51853.95,69.59,3.39,2
Rear Brake Pad,35049.12,51.39,2.88,2
Gearbox,10475.07,2.64,60.48,2
Front Brake Pad,48907.66,11.21,7.05,2
Rear Brake Pad,43674.01,42.01,3.44,2
Front Brake Pad,34014.13,0.49,3.27,0
Rear Brake Pad,72791.95,19.54,4.72,2
Gearbox,10926.34,2.85,30.8,2
Spark Plug,86824.15,41.56,4.86,2
Ignition Coil,123301.1,76.44,4.32,2
Gearbox,5391.36,0.73,17.4,0
Spark Plug,37849.97,49.15,6.54,2
Spark Plug,4507.95,51.64,4.04,2
Rear Brake Pad,37936.01,5.1,1.13,2
Spark Plug,22792.17,33.17,2.15,0
CVT/AT Oil,38714.26,35.15,98.94,1
Gearbox,12378.73,7.81,37.27,2
Spark Plug,32190.04,71.95,1.32,2
Rear Brake Pad,3377.58,30.74,8.29,0
Ignition Coil,97299.48,49.49,11.34,2
Rear Brake Pad,18815.23,45.82,8.15,2
Ignition Coil,84564.78,49.19,6.99,0
CVT/AT Oil,37927.35,27.19,7.21,2
Ignition Coil,119522.2,36.54,11.23,2
